state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,poverty,unemployment
AL,Autauga County,South,2,12.417,34.331,28.66,24.593,14.0,5.3
AL,Baldwin County,South,3,9.972,28.692,31.788,29.547,12.0,5.4
AL,Barbour County,South,6,26.236,34.927,25.969,12.868,30.0,8.6
AL,Bibb County,South,1,19.302,41.816,26.883,12.0,20.0,6.6
AL,Blount County,South,1,19.969,32.942,34.039,13.05,14.0,5.5
AL,Bullock County,South,6,33.438,34.147,22.16,10.255,33.0,7.2
AL,Butler County,South,6,18.94,39.852,25.127,16.08,25.0,7.1
AL,Calhoun County,South,3,17.663,32.072,32.612,17.653,17.0,6.7
AL,Chambers County,South,6,19.737,39.411,28.368,12.484,20.0,5.5
AL,Cherokee County,South,6,18.717,35.958,31.363,13.962,17.0,5.2
AL,Chilton County,South,1,19.902,41.254,23.989,14.855,18.0,5.6
AL,Choctaw County,South,9,21.147,37.257,29.636,11.96,23.0,8.9
AL,Clarke County,South,7,18.958,45.118,23.787,12.137,29.0,11.1
AL,Clay County,South,9,25.386,34.575,28.975,11.063,19.0,6.2
AL,Cleburne County,South,8,25.815,37.97,24.686,11.528,17.0,6.1
AL,Coffee County,South,4,14.864,29.344,32.126,23.667,14.0,6.1
AL,Colbert County,South,3,16.577,34.849,30.104,18.471,17.0,7.0
AL,Conecuh County,South,7,20.572,46.208,24.557,8.663,28.0,8.6
AL,Coosa County,South,8,27.065,36.335,26.66,9.941,18.0,6.1
AL,Covington County,South,6,19.066,34.407,31.606,14.921,20.0,7.0
AL,Crenshaw County,South,8,21.684,38.53,25.139,14.648,21.0,6.0
AL,Cullman County,South,4,17.844,35.126,32.062,14.969,15.0,5.1
AL,Dale County,South,4,14.165,33.07,36.696,16.069,21.0,5.9
AL,Dallas County,South,4,20.982,36.456,28.778,13.784,35.0,9.4
AL,DeKalb County,South,6,27.363,34.273,26.998,11.366,21.0,6.2
AL,Elmore County,South,2,13.172,35.443,29.146,22.238,14.0,4.9
AL,Escambia County,South,6,19.544,43.432,25.398,11.626,23.0,6.7
AL,Etowah County,South,3,17.549,32.546,33.413,16.492,18.0,6.0
AL,Fayette County,South,6,20.769,39.039,26.046,14.145,20.0,7.0
AL,Franklin County,South,6,24.331,36.688,26.591,12.39,20.0,6.1
AL,Geneva County,South,3,22.313,35.959,30.066,11.662,21.0,5.9
AL,Greene County,South,8,23.051,40.972,26.002,9.975,34.0,10.1
AL,Hale County,South,3,18.604,42.79,24.577,14.029,24.0,7.8
AL,Henry County,South,3,19.303,36.143,28.41,16.144,19.0,6.6
AL,Houston County,South,3,15.096,32.128,31.758,21.018,19.0,5.9
AL,Jackson County,South,6,20.515,41.138,25.768,12.578,18.0,6.4
AL,Jefferson County,South,1,11.005,26.477,31.078,31.44,15.0,5.9
AL,Lamar County,South,8,22.585,35.367,28.986,13.063,19.0,5.7
AL,Lauderdale County,South,3,15.137,34.601,28.582,21.679,15.0,6.4
AL,Lawrence County,South,3,22.457,39.869,27.366,10.309,17.0,7.0
AL,Lee County,South,3,11.288,24.539,29.762,34.412,18.0,5.3
AL,Limestone County,South,2,16.843,31.983,27.913,23.261,13.0,5.3
AL,Lowndes County,South,2,25.192,37.669,24.857,12.282,32.0,10.8
AL,Macon County,South,6,19.534,31.207,29.217,20.042,30.0,7.7
AL,Madison County,South,2,9.185,20.9,29.242,40.672,14.0,5.2
AL,Marengo County,South,7,16.142,40.244,28.825,14.789,26.0,7.4
AL,Marion County,South,7,20.109,34.975,32.45,12.466,19.0,6.7
AL,Marshall County,South,4,21.395,31.894,30.144,16.567,21.0,5.5
AL,Mobile County,South,2,14.223,32.556,30.709,22.512,20.0,6.9
AL,Monroe County,South,7,17.968,45.075,24.562,12.395,26.0,9.4
AL,Montgomery County,South,2,14.487,25.389,28.664,31.46,19.0,5.9
AL,Morgan County,South,3,17.509,30.071,30.991,21.429,16.0,5.6
AL,Perry County,South,8,23.616,39.522,22.37,14.493,35.0,10.6
AL,Pickens County,South,3,18.901,39.925,30.055,11.119,26.0,6.9
AL,Pike County,South,6,20.043,32.679,23.29,23.988,25.0,6.4
AL,Randolph County,South,6,22.739,36.4,25.482,15.379,22.0,5.7
AL,Russell County,South,2,17.439,31.166,34.381,17.014,19.0,5.6
AL,St. Clair County,South,1,16.517,36.126,31.254,16.104,12.0,5.3
AL,Shelby County,South,1,8.426,21.047,29.104,41.423,8.0,4.4
AL,Sumter County,South,8,20.017,41.592,20.271,18.12,32.0,7.8
AL,Talladega County,South,4,20.188,35.674,31.047,13.091,18.0,6.8
AL,Tallapoosa County,South,6,20.36,35.285,27.039,17.316,20.0,5.6
AL,Tuscaloosa County,South,3,11.858,30.339,28.433,29.369,18.0,5.8
AL,Walker County,South,1,21.445,36.609,31.403,10.543,21.0,7.6
AL,Washington County,South,8,20.262,45.8,24.314,9.623,18.0,8.7
AL,Wilcox County,South,9,20.145,44.913,23.639,11.302,32.0,14.7
AL,Winston County,South,6,23.996,34.341,28.575,13.089,17.0,7.3
AK,Aleutians East Borough,West,9,15.639,42.043,30.373,11.945,15.0,2.7
AK,Aleutians West Census Area,West,9,12.521,40.308,31.471,15.699,8.0,3.3
AK,Anchorage Borough,West,2,6.715,23.955,35.032,34.298,7.0,5.3
AK,Bethel Census Area,West,7,19.099,45.407,24.077,11.417,26.0,14.1
AK,Bristol Bay Borough,West,9,7.396,34.823,38.675,19.106,11.0,6.9
AK,Denali Borough,West,8,3.792,23.353,34.331,38.523,6.0,8.6
AK,Dillingham Census Area,West,9,13.208,36.863,32.365,17.564,20.0,9.7
AK,Fairbanks North Star Borough,West,3,5.608,22.193,38.827,33.373,9.0,5.7
AK,Haines Borough,West,9,4.548,25.663,29.345,40.444,10.0,9.8
AK,Hoonah-Angoon Census Area,West,9,9.436,33.882,32.426,24.256,19.0,11.5
AK,Juneau Borough,West,5,4.375,21.195,34.996,39.434,7.0,4.4
AK,Kenai Peninsula Borough,West,7,7.269,32.189,36.861,23.681,12.0,8.2
AK,Ketchikan Gateway Borough,West,7,7.966,31.746,36.519,23.77,9.0,6.2
AK,Kodiak Island Borough,West,7,9.335,27.273,38.542,24.85,7.0,5.0
AK,Kusilvak Census Area,West,9,21.574,52.213,21.415,4.797,38.0,21.3
AK,Lake and Peninsula Borough,West,9,13.653,42.515,31.377,12.455,21.0,12.3
AK,Matanuska-Susitna Borough,West,2,7.598,31.838,39.977,20.588,10.0,8.1
AK,Nome Census Area,West,7,15.076,43.082,27.932,13.91,24.0,12.5
AK,North Slope Borough,West,7,11.633,37.844,36.341,14.182,12.0,6.5
AK,Northwest Arctic Borough,West,7,20.881,44.953,23.404,10.762,28.0,15.7
AK,Petersburg Borough,West,9,7.612,33.712,33.664,25.012,8.0,8.6
AK,Prince of Wales-Hyder Census Area,West,9,9.48,39.121,35.607,15.792,18.0,11.7
AK,Sitka Borough,West,7,7.354,25.683,34.609,32.354,8.0,4.3
AK,Skagway Municipality,West,9,3.47,24.907,37.918,33.705,4.0,10.6
AK,Southeast Fairbanks Census Area,West,9,9.255,33.415,38.131,19.199,12.0,10.2
AK,Valdez-Cordova Census Area,West,9,7.215,27.326,35.371,30.088,9.0,8.2
AK,Wrangell Borough,West,9,11.885,34.295,33.56,20.26,12.0,7.3
AK,Yakutat Borough,West,9,5.543,40.798,33.925,19.734,17.0,8.1
AK,Yukon-Koyukuk Census Area,West,9,17.114,39.932,30.698,12.256,23.0,17.2
AZ,Apache County,West,6,21.758,33.493,33.69,11.059,33.0,11.3
AZ,Cochise County,West,3,13.409,23.216,40.212,23.163,21.0,6.1
AZ,Coconino County,West,3,11.085,21.603,33.103,34.209,18.0,5.9
AZ,Gila County,West,4,15.73,28.677,37.856,17.737,20.0,7.2
AZ,Graham County,West,7,14.581,32.932,39.163,13.324,23.0,6.7
AZ,Greenlee County,West,7,12.145,36.798,38.86,12.197,12.0,7.6
AZ,La Paz County,West,6,24.842,36.443,28.278,10.437,25.0,6.0
AZ,Maricopa County,West,1,13.052,22.943,33.037,30.969,15.0,4.5
AZ,Mohave County,West,3,16.146,35.989,35.987,11.879,18.0,6.6
AZ,Navajo County,West,4,18.494,30.345,36.669,14.492,28.0,8.1
AZ,Pima County,West,2,12.252,22.594,34.353,30.801,18.0,4.9
AZ,Pinal County,West,1,15.083,29.202,37.243,18.471,15.0,5.5
AZ,Santa Cruz County,West,4,25.207,26.162,26.138,22.493,21.0,9.9
AZ,Yavapai County,West,3,9.831,25.798,38.83,25.542,13.0,4.9
AZ,Yuma County,West,3,28.28,25.564,31.77,14.387,19.0,18.6
AR,Arkansas County,South,6,17.481,40.588,27.501,14.429,18.0,3.5
AR,Ashley County,South,7,16.105,39.736,30.571,13.587,18.0,6.3
AR,Baxter County,South,7,12.782,34.353,35.126,17.738,13.0,4.3
AR,Benton County,South,2,12.766,30.489,26.021,30.723,9.0,2.9
AR,Boone County,South,7,15.021,34.562,35.449,14.968,15.0,3.7
AR,Bradley County,South,7,20.127,41.453,24.189,14.231,24.0,5.2
AR,Calhoun County,South,9,16.766,49.622,21.598,12.014,17.0,4.7
AR,Carroll County,South,6,16.187,34.932,31.189,17.692,17.0,3.6
AR,Chicot County,South,7,19.928,42.029,24.909,13.134,30.0,6.6
AR,Clark County,South,7,13.469,30.865,30.949,24.717,22.0,4.5
AR,Clay County,South,7,20.884,42.416,25.351,11.349,19.0,5.7
AR,Cleburne County,South,6,16.683,38.191,29.743,15.382,16.0,6.0
AR,Cleveland County,South,3,13.872,43.906,26.476,15.747,16.0,4.6
AR,Columbia County,South,7,14.834,39.235,24.016,21.915,24.0,5.8
AR,Conway County,South,6,15.032,42.298,25.751,16.919,19.0,5.8
AR,Craighead County,South,3,12.049,34.232,28.327,25.392,16.0,3.3
AR,Crawford County,South,2,14.721,39.973,31.757,13.55,17.0,3.9
AR,Crittenden County,South,1,18.228,35.578,28.803,17.391,26.0,4.6
AR,Cross County,South,6,19.349,43.996,21.907,14.748,19.0,4.5
AR,Dallas County,South,6,16.559,48.898,21.856,12.688,21.0,5.0
AR,Desha County,South,6,23.87,39.688,23.258,13.184,27.0,5.5
AR,Drew County,South,6,18.35,36.916,24.89,19.844,19.0,5.8
AR,Faulkner County,South,2,8.927,30.651,31.308,29.114,16.0,3.8
AR,Franklin County,South,6,18.852,40.827,27.307,13.014,18.0,4.1
AR,Fulton County,South,9,16.085,40.678,32.203,11.034,23.0,4.4
AR,Garland County,South,3,11.641,31.331,36.405,20.623,18.0,4.3
AR,Grant County,South,2,9.979,41.605,28.58,19.837,12.0,3.6
AR,Greene County,South,4,14.747,42.98,25.83,16.443,15.0,4.3
AR,Hempstead County,South,6,21.34,37.983,28.061,12.616,21.0,3.8
AR,Hot Spring County,South,6,14.126,41.619,30.773,13.483,15.0,4.0
AR,Howard County,South,6,20.6,33.797,29.858,15.745,19.0,3.3
AR,Independence County,South,7,15.512,37.537,29.332,17.619,16.0,5.0
AR,Izard County,South,9,16.06,40.728,30.833,12.379,20.0,5.6
AR,Jackson County,South,6,23.39,42.067,25.898,8.646,24.0,6.2
AR,Jefferson County,South,3,15.724,38.442,28.845,16.989,23.0,5.6
AR,Johnson County,South,7,20.991,43.097,19.971,15.941,18.0,4.8
AR,Lafayette County,South,8,19.767,42.747,23.808,13.678,27.0,5.9
AR,Lawrence County,South,6,18.264,41.152,27.173,13.411,20.0,4.4
AR,Lee County,South,7,30.725,38.55,22.568,8.157,36.0,4.8
AR,Lincoln County,South,3,20.947,50.243,21.007,7.803,28.0,4.9
AR,Little River County,South,3,14.001,40.578,35.702,9.719,18.0,4.7
AR,Logan County,South,6,17.208,43.913,25.867,13.012,18.0,4.6
AR,Lonoke County,South,2,11.913,33.866,34.716,19.506,12.0,3.4
AR,Madison County,South,2,19.64,47.116,21.913,11.331,18.0,3.2
AR,Marion County,South,9,14.013,39.431,31.241,15.316,21.0,4.0
AR,Miller County,South,3,14.47,39.221,31.812,14.497,22.0,4.2
AR,Mississippi County,South,4,19.594,36.826,30.943,12.637,25.0,6.8
AR,Monroe County,South,7,21.822,41.7,27.425,9.053,27.0,4.9
AR,Montgomery County,South,8,20.219,35.428,31.841,12.511,22.0,5.3
AR,Nevada County,South,7,16.869,45.022,23.051,15.057,20.0,3.7
AR,Newton County,South,9,19.583,40.675,24.911,14.831,20.0,3.9
AR,Ouachita County,South,7,13.828,42.614,26.941,16.616,25.0,5.1
AR,Perry County,South,2,17.766,43.034,28.573,10.626,17.0,4.8
AR,Phillips County,South,6,23.614,31.443,33.278,11.665,32.0,5.9
AR,Pike County,South,9,18.552,35.569,31.032,14.847,18.0,4.3
AR,Poinsett County,South,3,21.284,42.458,26.682,9.576,23.0,4.3
AR,Polk County,South,7,15.737,36.938,35.057,12.268,23.0,4.9
AR,Pope County,South,5,16.537,33.776,28.353,21.334,18.0,4.6
AR,Prairie County,South,8,17.625,43.388,25.963,13.023,18.0,3.9
AR,Pulaski County,South,2,9.913,27.104,30.05,32.933,17.0,3.6
AR,Randolph County,South,7,16.716,38.343,31.264,13.677,19.0,4.7
AR,St. Francis County,South,6,22.032,38.733,28.839,10.396,32.0,5.2
AR,Saline County,South,2,10.735,33.447,31.287,24.53,9.0,3.2
AR,Scott County,South,6,23.586,38.466,27.366,10.582,20.0,3.8
AR,Searcy County,South,9,15.432,42.071,28.053,14.444,23.0,4.5
AR,Sebastian County,South,2,17.522,31.905,31.783,18.789,17.0,3.7
AR,Sevier County,South,6,30.391,34.555,25.672,9.381,21.0,5.0
AR,Sharp County,South,7,16.77,43.157,29.984,10.09,21.0,5.5
AR,Stone County,South,9,23.469,35.05,27.034,14.447,22.0,5.2
AR,Union County,South,7,16.251,35.96,28.56,19.229,19.0,5.5
AR,Van Buren County,South,8,15.672,45.188,25.521,13.618,17.0,7.0
AR,Washington County,South,2,15.82,27.491,25.512,31.177,16.0,2.7
AR,White County,South,4,15.968,38.17,26.52,19.342,16.0,5.2
AR,Woodruff County,South,9,24.479,45.449,19.856,10.217,26.0,5.5
AR,Yell County,South,6,22.148,40.865,22.609,14.378,18.0,4.5
CA,Alameda County,West,1,12.701,17.998,25.413,43.888,11.0,4.2
CA,Alpine County,West,8,8.861,32.532,28.861,29.747,19.0,6.5
CA,Amador County,West,6,11.657,26.762,40.068,21.513,11.0,5.9
CA,Butte County,West,3,11.739,22.698,39.418,26.146,20.0,6.5
CA,Calaveras County,West,6,9.594,27.221,42.965,20.22,13.0,5.6
CA,Colusa County,West,6,31.944,21.849,31.78,14.427,11.0,15.5
CA,Contra Costa County,West,1,10.941,18.169,30.62,40.27,9.0,4.4
CA,Del Norte County,West,7,17.846,30.747,36.501,14.907,24.0,7.5
CA,El Dorado County,West,1,7.374,21.762,37.881,32.983,9.0,5.1
CA,Fresno County,West,2,26.224,22.742,31.301,19.732,26.0,9.4
CA,Glenn County,West,6,27.46,27.88,31.952,12.708,17.0,8.2
CA,Humboldt County,West,5,9.674,24.736,37.364,28.226,20.0,4.9
CA,Imperial County,West,3,32.973,22.478,30.592,13.957,24.0,23.5
CA,Inyo County,West,7,11.532,31.217,32.759,24.492,12.0,5.2
CA,Kern County,West,2,26.4,27.218,30.717,15.665,22.0,10.3
CA,Kings County,West,3,27.149,26.41,33.653,12.789,17.0,10.0
CA,Lake County,West,4,16.287,27.824,39.732,16.157,21.0,6.6
CA,Lassen County,West,7,18.604,30.897,37.961,12.538,18.0,6.9
CA,Los Angeles County,West,1,22.282,20.679,26.275,30.764,16.0,5.2
CA,Madera County,West,3,28.296,25.899,32.675,13.13,20.0,9.2
CA,Marin County,West,1,6.893,11.265,24.76,57.081,8.0,3.2
CA,Mariposa County,West,8,10.532,28.353,38.479,22.637,18.0,6.9
CA,Mendocino County,West,4,13.459,26.205,36.257,24.079,19.0,5.2
CA,Merced County,West,2,31.391,25.24,29.707,13.662,20.0,10.5
CA,Modoc County,West,6,13.587,27.084,41.059,18.27,18.0,7.8
CA,Mono County,West,7,16.001,17.993,35.361,30.645,12.0,5.3
CA,Monterey County,West,2,29.101,20.365,26.885,23.649,13.0,7.6
CA,Napa County,West,3,16.095,18.791,32.068,33.046,8.0,4.3
CA,Nevada County,West,4,6.668,19.6,39.33,34.402,11.0,4.7
CA,Orange County,West,1,15.49,17.421,28.641,38.447,11.0,4.0
CA,Placer County,West,1,5.799,19.208,38.091,36.902,7.0,4.4
CA,Plumas County,West,7,8.09,23.857,46.114,21.939,13.0,9.6
CA,Riverside County,West,1,19.521,25.889,33.401,21.189,15.0,6.1
CA,Sacramento County,West,1,13.221,22.403,35.093,29.284,16.0,5.4
CA,San Benito County,West,1,21.704,24.637,34.704,18.955,11.0,6.8
CA,San Bernardino County,West,1,21.208,26.219,33.257,19.317,18.0,5.7
CA,San Diego County,West,1,13.598,18.81,31.097,36.494,12.0,4.7
CA,San Francisco County,West,1,12.56,12.465,20.182,54.793,10.0,3.3
CA,San Joaquin County,West,2,22.015,26.649,33.173,18.162,15.0,8.1
CA,San Luis Obispo County,West,2,9.876,19.368,36.697,34.059,11.0,4.3
CA,San Mateo County,West,1,11.372,15.946,25.63,47.051,7.0,3.0
CA,Santa Barbara County,West,2,19.948,17.893,29.928,32.231,14.0,5.0
CA,Santa Clara County,West,1,12.929,14.769,23.199,49.103,9.0,3.8
CA,Santa Cruz County,West,2,13.681,15.476,31.851,38.991,13.0,6.9
CA,Shasta County,West,3,10.012,25.456,44.44,20.091,17.0,6.9
CA,Sierra County,West,8,10.962,26.543,42.713,19.782,14.0,7.6
CA,Siskiyou County,West,6,11.433,25.437,40.974,22.156,19.0,8.5
CA,Solano County,West,2,12.502,23.524,38.852,25.122,11.0,5.5
CA,Sonoma County,West,2,12.775,19.427,34.731,33.068,9.0,4.0
CA,Stanislaus County,West,2,22.386,28.144,32.95,16.52,15.0,8.5
CA,Sutter County,West,3,20.797,24.401,36.901,17.901,17.0,9.6
CA,Tehama County,West,4,17.092,31.096,38.006,13.806,21.0,7.1
CA,Trinity County,West,8,9.335,32.443,38.156,20.065,21.0,7.1
CA,Tulare County,West,2,31.826,25.359,28.823,13.992,25.0,11.0
CA,Tuolumne County,West,4,10.208,28.623,41.426,19.742,15.0,6.2
CA,Ventura County,West,2,16.573,18.763,32.464,32.2,10.0,5.2
CA,Yolo County,West,1,14.361,19.23,26.385,40.024,19.0,5.8
CA,Yuba County,West,3,17.844,24.32,42.287,15.548,17.0,8.5
CO,Adams County,West,1,17.839,28.48,31.314,22.368,12.0,3.6
CO,Alamosa County,West,7,16.17,24.378,33.648,25.804,25.0,4.1
CO,Arapahoe County,West,1,7.682,20.6,30.988,40.73,9.0,3.1
CO,Archuleta County,West,7,8.634,25.606,30.828,34.931,12.0,3.3
CO,Baca County,West,9,13.746,29.553,34.861,21.84,20.0,1.7
CO,Bent County,West,7,15.764,45.456,29.288,9.492,34.0,3.1
CO,Boulder County,West,2,5.539,12.877,22.272,59.313,11.0,2.7
CO,Broomfield County,West,1,3.948,15.049,28.546,52.457,5.0,2.9
CO,Chaffee County,West,7,8.316,26.2,31.072,34.412,11.0,2.7
CO,Cheyenne County,West,9,9.373,34.014,33.333,23.28,14.0,2.3
CO,Clear Creek County,West,1,3.067,20.343,32.027,44.562,8.0,3.2
CO,Conejos County,West,9,16.014,31.67,33.976,18.34,23.0,4.9
CO,Costilla County,West,9,23.018,26.35,30.601,20.031,30.0,4.9
CO,Crowley County,West,8,17.153,40.407,32.192,10.249,48.0,3.6
CO,Custer County,West,8,8.299,21.821,40.478,29.403,14.0,3.2
CO,Delta County,West,6,11.989,36.905,31.499,19.606,18.0,5.0
CO,Denver County,West,1,13.639,17.63,23.012,45.719,14.0,3.1
CO,Dolores County,West,9,9.132,38.698,31.886,20.284,13.0,4.0
CO,Douglas County,West,1,2.083,12.29,28.1,57.526,3.0,2.7
CO,Eagle County,West,5,11.182,17.905,25.879,45.035,8.0,2.8
CO,Elbert County,West,1,3.583,26.104,37.491,32.822,6.0,2.7
CO,El Paso County,West,2,6.052,20.556,36.826,36.566,12.0,3.8
CO,Fremont County,West,4,11.272,39.2,33.131,16.397,18.0,5.3
CO,Garfield County,West,5,13.066,28.699,29.1,29.135,9.0,3.6
CO,Gilpin County,West,1,2.003,24.306,39.326,34.365,8.0,2.4
CO,Grand County,West,7,4.275,25.743,32.812,37.171,8.0,2.7
CO,Gunnison County,West,7,4.65,18.136,24.621,52.593,14.0,2.3
CO,Hinsdale County,West,9,5.136,22.825,31.098,40.942,10.0,2.3
CO,Huerfano County,West,6,8.664,27.428,37.918,25.991,22.0,6.4
CO,Jackson County,West,9,12.21,37.235,31.483,19.072,14.0,2.7
CO,Jefferson County,West,1,5.848,20.891,31.041,42.22,7.0,3.0
CO,Kiowa County,West,9,7.097,35.169,37.5,20.233,14.0,2.1
CO,Kit Carson County,West,7,16.463,38.053,31.653,13.831,14.0,2.1
CO,Lake County,West,6,7.179,33.582,28.325,30.914,15.0,2.9
CO,La Plata County,West,4,5.195,19.305,32.501,42.998,11.0,2.9
CO,Larimer County,West,2,4.33,19.361,31.034,45.275,11.0,2.8
CO,Las Animas County,West,7,14.237,29.566,37.249,18.948,22.0,5.2
CO,Lincoln County,West,8,14.783,49.743,21.795,13.68,18.0,2.6
CO,Logan County,West,7,10.658,34.228,38.399,16.716,16.0,3.0
CO,Mesa County,West,3,10.163,29.26,34.476,26.1,15.0,5.4
CO,Mineral County,West,9,3.366,21.038,33.1,42.496,9.0,2.2
CO,Moffat County,West,7,8.921,39.949,32.261,18.868,13.0,4.0
CO,Montezuma County,West,6,9.826,29.518,33.637,27.019,15.0,5.0
CO,Montrose County,West,4,11.209,32.097,32.912,23.782,16.0,4.2
CO,Morgan County,West,6,19.019,31.751,33.126,16.104,12.0,3.5
CO,Otero County,West,6,14.205,28.434,40.249,17.112,24.0,4.8
CO,Ouray County,West,9,2.206,18.155,25.146,54.492,9.0,3.8
CO,Park County,West,1,3.701,26.029,39.792,30.479,9.0,2.8
CO,Phillips County,West,9,10.906,32.356,36.343,20.395,12.0,2.0
CO,Pitkin County,West,7,4.591,13.764,21.21,60.435,7.0,3.4
CO,Prowers County,West,7,17.351,27.58,39.675,15.394,21.0,3.3
CO,Pueblo County,West,3,11.754,29.28,37.726,21.239,20.0,4.9
CO,Rio Blanco County,West,9,8.167,33.584,36.4,21.849,10.0,5.1
CO,Rio Grande County,West,7,16.624,27.408,33.402,22.567,18.0,5.1
CO,Routt County,West,7,3.458,21.597,25.532,49.413,7.0,2.7
CO,Saguache County,West,9,19.169,26.281,29.081,25.469,28.0,4.9
CO,San Juan County,West,9,4.595,32.604,34.354,28.446,16.0,3.8
CO,San Miguel County,West,9,6.833,14.828,23.274,55.064,10.0,3.3
CO,Sedgwick County,West,9,8.818,33.804,37.566,19.812,15.0,2.4
CO,Summit County,West,5,5.344,16.998,27.74,49.918,8.0,2.1
CO,Teller County,West,2,5.64,25.37,36.416,32.575,10.0,3.8
CO,Washington County,West,9,8.691,34.112,41.206,15.992,14.0,2.2
CO,Weld County,West,2,12.995,26.954,33.29,26.762,12.0,3.4
CO,Yuma County,West,7,12.907,33.098,32.604,21.391,12.0,2.2
CT,Fairfield County,Northeast,2,10.104,22.359,21.175,46.362,9.0,4.8
CT,Hartford County,Northeast,1,10.736,27.182,25.215,36.866,11.0,5.3
CT,Litchfield County,Northeast,4,8.297,29.5,28.186,34.017,7.0,4.6
CT,Middlesex County,Northeast,1,6.153,27.194,25.724,40.928,8.0,4.4
CT,New Haven County,Northeast,2,10.503,30.34,24.869,34.288,11.0,5.5
CT,New London County,Northeast,2,8.433,30.845,28.306,32.416,9.0,5.0
CT,Tolland County,Northeast,1,6.214,27.072,27.854,38.86,7.0,4.4
CT,Windham County,Northeast,2,11.925,33.289,30.929,23.857,12.0,5.5
DE,Kent County,South,3,13.104,33.572,30.203,23.122,14.0,4.7
DE,New Castle County,South,1,9.539,28.9,26.131,35.429,11.0,4.3
