state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,unemployment,poverty_log,less_than_high_school_log,high_school_diploma_log,college/associate_degree_log,unemployment_log,RUCC_reduced,region_reduced
AL,Autauga County,South,2,12.417,34.330999999999996,28.66,5.1,2.6390573296152584,2.519066501434705,3.5360487360870128,3.3555024224000256,1.62924053973028,2-3,South
AL,Baldwin County,South,3,9.972000000000001,28.691999999999997,31.788,5.4,2.4849066497880004,2.2997811656613116,3.356618338264188,3.459088860077933,1.6863989535702288,2-3,South
AL,Barbour County,South,6,26.236,34.927,25.969,8.4,3.4011973816621555,3.267132513431489,3.553260169072492,3.256903518964858,2.128231705849268,4-9,South
AL,Bibb County,South,1,19.302,41.816,26.883000000000003,6.5,2.9957322735539913,2.960208717484944,3.7332790414106207,3.2914941165701923,1.8718021769015913,1,South
AL,Blount County,South,1,19.969,32.942,34.039,5.4,2.6390573296152584,2.9941810710612544,3.494748439360484,3.5275069260703646,1.6863989535702288,1,South
AL,Bullock County,South,6,33.23599999999997,34.147,22.16,6.9,3.49650756146648,3.503633625802734,3.530674734427361,3.098288861879083,1.9315214116032138,4-9,South
AL,Butler County,South,6,18.94,39.852,25.127,6.9,3.218875824868201,2.9412760877579323,3.6851725921826097,3.223942965201219,1.9315214116032138,4-9,South
AL,Calhoun County,South,3,17.663,32.071999999999996,32.611999999999995,6.6,2.8332133440562166,2.8714720561733063,3.467983375340206,3.484680318800664,1.8870696490323797,2-3,South
AL,Chambers County,South,6,19.737000000000002,39.411,28.368000000000002,5.5,2.9957322735539913,2.9824950467719704,3.6740449651554807,3.345261749331852,1.7047480922384253,4-9,South
AL,Cherokee County,South,6,18.717,35.958,31.363000000000003,5.1,2.8332133440562166,2.929432201796759,3.582351590704103,3.445628854172075,1.62924053973028,4-9,South
AL,Chilton County,South,1,19.902,41.254,23.989,5.5,2.8903717578961645,2.9908202291929706,3.7197480777764027,3.177595391947785,1.7047480922384253,1,South
AL,Choctaw County,South,9,21.147,37.257,29.636,8.5,3.1354942159291497,3.051498051459848,3.617839846634005,3.3889898385544104,2.1400661634962708,4-9,South
AL,Clarke County,South,7,18.958,45.118,23.787,10.9,3.3672958299864737,2.94222600603085,3.809281279966232,3.1691392129583713,2.388762789235098,4-9,South
AL,Clay County,South,9,25.386,34.575,28.975,6.0,2.9444389791664403,3.2341978409659853,3.543130877550822,3.3664333892258154,1.791759469228055,4-9,South
AL,Cleburne County,South,8,25.815,37.97,24.686,6.0,2.8332133440562166,3.2509557183316127,3.636796374243711,3.206236281321737,1.791759469228055,4-9,South
AL,Coffee County,South,4,14.864,29.344,32.126,5.9,2.6390573296152584,2.698942182071483,3.3790880960740544,3.4696656711355742,1.7749523509116738,4-9,South
AL,Colbert County,South,3,16.577,34.849000000000004,30.104,7.0,2.8332133440562166,2.808016192442729,3.5510244423902497,3.404658053291136,1.9459101490553132,2-3,South
AL,Conecuh County,South,7,20.572,46.208,24.557,8.4,3.332204510175204,3.02393092791267,3.833152943270361,3.200996945980909,2.128231705849268,4-9,South
AL,Coosa County,South,8,27.065,36.335,26.66,6.0,2.8903717578961645,3.298241380248941,3.592781464068599,3.2831643147505627,1.791759469228055,4-9,South
AL,Covington County,South,6,19.066,34.407,31.605999999999998,6.8,2.9957322735539913,2.947906644071386,3.538260032050495,3.453346975986912,1.916922612182061,4-9,South
