state,county,region,RUCC,less_than_high_school,high_school_diploma,college/associate_degree,bachelors/higher,unemployment,poverty_log
AL,Autauga County,South,2,12.417,34.331,28.66,24.593,5.1,2.6390573296152584
AL,Baldwin County,South,3,9.972,28.692,31.788,29.547,5.4,2.4849066497880004
AL,Barbour County,South,6,26.236,34.927,25.969,12.868,8.4,3.4011973816621555
AL,Bibb County,South,1,19.302,41.816,26.883,12.0,6.5,2.995732273553991
AL,Blount County,South,1,19.969,32.942,34.039,13.05,5.4,2.6390573296152584
AL,Bullock County,South,6,33.438,34.147,22.16,10.255,6.9,3.4965075614664802
AL,Butler County,South,6,18.94,39.852,25.127,16.08,6.9,3.2188758248682006
AL,Calhoun County,South,3,17.663,32.072,32.612,17.653,6.6,2.833213344056216
AL,Chambers County,South,6,19.737,39.411,28.368,12.484,5.5,2.995732273553991
AL,Cherokee County,South,6,18.717,35.958,31.363,13.962,5.1,2.833213344056216
AL,Chilton County,South,1,19.902,41.254,23.989,14.855,5.5,2.8903717578961645
AL,Choctaw County,South,9,21.147,37.257,29.636,11.96,8.5,3.1354942159291497
AL,Clarke County,South,7,18.958,45.118,23.787,12.137,10.9,3.367295829986474
AL,Clay County,South,9,25.386,34.575,28.975,11.063,6.0,2.9444389791664403
AL,Cleburne County,South,8,25.815,37.97,24.686,11.528,6.0,2.833213344056216
AL,Coffee County,South,4,14.864,29.344,32.126,23.667,5.9,2.6390573296152584
AL,Colbert County,South,3,16.577,34.849,30.104,18.471,7.0,2.833213344056216
AL,Conecuh County,South,7,20.572,46.208,24.557,8.663,8.4,3.332204510175204
AL,Coosa County,South,8,27.065,36.335,26.66,9.941,6.0,2.8903717578961645
AL,Covington County,South,6,19.066,34.407,31.606,14.921,6.8,2.995732273553991
AL,Crenshaw County,South,8,21.684,38.53,25.139,14.648,5.9,3.044522437723423
AL,Cullman County,South,4,17.844,35.126,32.062,14.969,5.0,2.70805020110221
AL,Dale County,South,4,14.165,33.07,36.696,16.069,5.8,3.044522437723423
AL,Dallas County,South,4,20.982,36.456,28.778,13.784,9.2,3.5553480614894135
AL,DeKalb County,South,6,27.363,34.273,26.998,11.366,6.1,3.044522437723423
AL,Elmore County,South,2,13.172,35.443,29.146,22.238,4.8,2.6390573296152584
AL,Escambia County,South,6,19.544,43.432,25.398,11.626,6.7,3.1354942159291497
AL,Etowah County,South,3,17.549,32.546,33.413,16.492,5.9,2.8903717578961645
AL,Fayette County,South,6,20.769,39.039,26.046,14.145,6.7,2.995732273553991
AL,Franklin County,South,6,24.331,36.688,26.591,12.39,5.9,2.995732273553991
AL,Geneva County,South,3,22.313,35.959,30.066,11.662,5.8,3.044522437723423
AL,Greene County,South,8,23.051,40.972,26.002,9.975,10.0,3.5263605246161616
AL,Hale County,South,3,18.604,42.79,24.577,14.029,7.7,3.1780538303479458
AL,Henry County,South,3,19.303,36.143,28.41,16.144,6.5,2.9444389791664403
AL,Houston County,South,3,15.096,32.128,31.758,21.018,5.8,2.9444389791664403
AL,Jackson County,South,6,20.515,41.138,25.768,12.578,6.3,2.8903717578961645
AL,Jefferson County,South,1,11.005,26.477,31.078,31.44,5.7,2.70805020110221
AL,Lamar County,South,8,22.585,35.367,28.986,13.063,5.6,2.9444389791664403
AL,Lauderdale County,South,3,15.137,34.601,28.582,21.679,6.4,2.70805020110221
AL,Lawrence County,South,3,22.457,39.869,27.366,10.309,6.9,2.833213344056216
AL,Lee County,South,3,11.288,24.539,29.762,34.412,5.2,2.8903717578961645
AL,Limestone County,South,2,16.843,31.983,27.913,23.261,5.3,2.5649493574615367
AL,Lowndes County,South,2,25.192,37.669,24.857,12.282,10.6,3.4657359027997265
AL,Macon County,South,6,19.534,31.207,29.217,20.042,7.6,3.4011973816621555
AL,Madison County,South,2,9.185,20.9,29.242,40.672,5.1,2.6390573296152584
AL,Marengo County,South,7,16.142,40.244,28.825,14.789,7.2,3.258096538021482
AL,Marion County,South,7,20.109,34.975,32.45,12.466,6.6,2.9444389791664403
AL,Marshall County,South,4,21.395,31.894,30.144,16.567,5.3,3.044522437723423
AL,Mobile County,South,2,14.223,32.556,30.709,22.512,6.6,2.995732273553991
AL,Monroe County,South,7,17.968,45.075,24.562,12.395,9.1,3.258096538021482
AL,Montgomery County,South,2,14.487,25.389,28.664,31.46,5.7,2.9444389791664403
AL,Morgan County,South,3,17.509,30.071,30.991,21.429,5.5,2.772588722239781
AL,Perry County,South,8,23.616,39.522,22.37,14.493,10.3,3.5553480614894135
AL,Pickens County,South,3,18.901,39.925,30.055,11.119,6.9,3.258096538021482
AL,Pike County,South,6,20.043,32.679,23.29,23.988,6.5,3.2188758248682006
AL,Randolph County,South,6,22.739,36.4,25.482,15.379,5.6,3.091042453358316
AL,Russell County,South,2,17.439,31.166,34.381,17.014,5.6,2.9444389791664403
AL,St. Clair County,South,1,16.517,36.126,31.254,16.104,5.2,2.4849066497880004
AL,Shelby County,South,1,8.426,21.047,29.104,41.423,4.3,2.0794415416798357
AL,Sumter County,South,8,20.017,41.592,20.271,18.12,7.7,3.4657359027997265
AL,Talladega County,South,4,20.188,35.674,31.047,13.091,6.6,2.8903717578961645
AL,Tallapoosa County,South,6,20.36,35.285,27.039,17.316,5.6,2.995732273553991
AL,Tuscaloosa County,South,3,11.858,30.339,28.433,29.369,5.7,2.8903717578961645
AL,Walker County,South,1,21.445,36.609,31.403,10.543,7.5,3.044522437723423
AL,Washington County,South,8,20.262,45.8,24.314,9.623,8.6,2.8903717578961645
AL,Wilcox County,South,9,20.145,44.913,23.639,11.302,14.4,3.4657359027997265
AL,Winston County,South,6,23.996,34.341,28.575,13.089,7.1,2.833213344056216
AK,Aleutians East Borough,West,9,15.639,42.043,30.373,11.945,2.7,2.70805020110221
AK,Aleutians West Census Area,West,9,12.521,40.308,31.471,15.699,3.3,2.0794415416798357
AK,Anchorage Borough,West,2,6.715,23.955,35.032,34.298,5.6,1.9459101490553132
AK,Bethel Census Area,West,7,19.099,45.407,24.077,11.417,14.3,3.258096538021482
AK,Bristol Bay Borough,West,9,7.396,34.823,38.675,19.106,7.0,2.3978952727983707
AK,Denali Borough,West,8,3.792,23.353,34.331,38.523,9.1,1.791759469228055
AK,Dillingham Census Area,West,9,13.208,36.863,32.365,17.564,9.7,2.995732273553991
AK,Fairbanks North Star Borough,West,3,5.608,22.193,38.827,33.373,5.9,2.1972245773362196
AK,Haines Borough,West,9,4.548,25.663,29.345,40.444,10.3,2.302585092994046
AK,Hoonah-Angoon Census Area,West,9,9.436,33.882,32.426,24.256,11.9,2.9444389791664403
AK,Juneau Borough,West,5,4.375,21.195,34.996,39.434,4.5,1.9459101490553132
AK,Kenai Peninsula Borough,West,7,7.269,32.189,36.861,23.681,8.6,2.4849066497880004
AK,Ketchikan Gateway Borough,West,7,7.966,31.746,36.519,23.77,6.6,2.1972245773362196
AK,Kodiak Island Borough,West,7,9.335,27.273,38.542,24.85,5.2,1.9459101490553132
AK,Kusilvak Census Area,West,9,21.574,52.213,21.415,4.797,21.7,3.6375861597263857
AK,Lake and Peninsula Borough,West,9,13.653,42.515,31.377,12.455,12.6,3.044522437723423
AK,Matanuska-Susitna Borough,West,2,7.598,31.838,39.977,20.588,8.3,2.302585092994046
AK,Nome Census Area,West,7,15.076,43.082,27.932,13.91,12.8,3.1780538303479458
AK,North Slope Borough,West,7,11.633,37.844,36.341,14.182,6.8,2.4849066497880004
AK,Northwest Arctic Borough,West,7,20.881,44.953,23.404,10.762,16.1,3.332204510175204
AK,Petersburg Borough,West,9,7.612,33.712,33.664,25.012,9.1,2.0794415416798357
AK,Prince of Wales-Hyder Census Area,West,9,9.48,39.121,35.607,15.792,12.3,2.8903717578961645
AK,Sitka Borough,West,7,7.354,25.683,34.609,32.354,4.7,2.0794415416798357
AK,Skagway Municipality,West,9,3.47,24.907,37.918,33.705,11.3,1.3862943611198906
AK,Southeast Fairbanks Census Area,West,9,9.255,33.415,38.131,19.199,10.8,2.4849066497880004
AK,Valdez-Cordova Census Area,West,9,7.215,27.326,35.371,30.088,8.6,2.1972245773362196
AK,Wrangell Borough,West,9,11.885,34.295,33.56,20.26,7.6,2.4849066497880004
AK,Yakutat Borough,West,9,5.543,40.798,33.925,19.734,8.6,2.833213344056216
AK,Yukon-Koyukuk Census Area,West,9,17.114,39.932,30.698,12.256,18.0,3.1354942159291497
AZ,Apache County,West,6,21.758,33.493,33.69,11.059,11.5,3.4965075614664802
AZ,Cochise County,West,3,13.409,23.216,40.212,23.163,6.2,3.044522437723423
AZ,Coconino County,West,3,11.085,21.603,33.103,34.209,6.0,2.8903717578961645
AZ,Gila County,West,4,15.73,28.677,37.856,17.737,7.2,2.995732273553991
AZ,Graham County,West,7,14.581,32.932,39.163,13.324,6.7,3.1354942159291497
AZ,Greenlee County,West,7,12.145,36.798,38.86,12.197,7.6,2.4849066497880004
AZ,La Paz County,West,6,24.842,36.443,28.278,10.437,6.0,3.2188758248682006
AZ,Maricopa County,West,1,13.052,22.943,33.037,30.969,4.6,2.70805020110221
AZ,Mohave County,West,3,16.146,35.989,35.987,11.879,6.6,2.8903717578961645
AZ,Navajo County,West,4,18.494,30.345,36.669,14.492,8.2,3.332204510175204
AZ,Pima County,West,2,12.252,22.594,34.353,30.801,5.0,2.8903717578961645
AZ,Pinal County,West,1,15.083,29.202,37.243,18.471,5.5,2.70805020110221
AZ,Santa Cruz County,West,4,25.207,26.162,26.138,22.493,10.0,3.044522437723423
AZ,Yavapai County,West,3,9.831,25.798,38.83,25.542,4.9,2.5649493574615367
AZ,Yuma County,West,3,28.28,25.564,31.77,14.387,18.8,2.9444389791664403
AR,Arkansas County,South,6,17.481,40.588,27.501,14.429,3.4,2.8903717578961645
AR,Ashley County,South,7,16.105,39.736,30.571,13.587,6.2,2.8903717578961645
AR,Baxter County,South,7,12.782,34.353,35.126,17.738,4.3,2.5649493574615367
AR,Benton County,South,2,12.766,30.489,26.021,30.723,2.9,2.1972245773362196
AR,Boone County,South,7,15.021,34.562,35.449,14.968,3.7,2.70805020110221
AR,Bradley County,South,7,20.127,41.453,24.189,14.231,5.2,3.1780538303479458
AR,Calhoun County,South,9,16.766,49.622,21.598,12.014,4.6,2.833213344056216
AR,Carroll County,South,6,16.187,34.932,31.189,17.692,3.5,2.833213344056216
